cenario,recurso,tempo_dns,tempo_total,bytes,throughput,status_http,sucesso
A,/arquivo_100kb.bin,0.0232,1.1256,102564,91120.86,200 OK,1
A,/arquivo_500kb.bin,0.0113,5.5378,512164,92484.46,200 OK,1
A,/arquivo_1mb.bin,0.0112,12.5912,1048741,83291.64,200 OK,1
A,/arquivo_100kb.bin,0.0114,1.1168,102564,91836.33,200 OK,1
A,/arquivo_500kb.bin,0.0115,5.537,512164,92498.67,200 OK,1
A,/arquivo_1mb.bin,0.0112,11.5616,1048741,90708.9,200 OK,1
A,/arquivo_100kb.bin,0.0112,1.1125,102564,92191.89,200 OK,1
A,/arquivo_500kb.bin,0.0113,6.5764,512164,77878.93,200 OK,1
A,/arquivo_1mb.bin,0.0113,11.5732,1048741,90618.42,200 OK,1
A,/arquivo_100kb.bin,0.0114,1.119,102564,91658.3,200 OK,1
A,/arquivo_500kb.bin,0.0112,5.5471,512164,92330.35,200 OK,1
A,/arquivo_1mb.bin,0.0112,12.6194,1048741,83105.55,200 OK,1
A,/arquivo_100kb.bin,0.0114,1.1301,102564,90754.04,200 OK,1
A,/arquivo_500kb.bin,0.0123,5.7007,512164,89842.49,200 OK,1
A,/arquivo_1mb.bin,0.0116,13.0218,1048741,80537.61,200 OK,1
A,/arquivo_100kb.bin,0.0123,1.1433,102564,89711.52,200 OK,1
A,/arquivo_500kb.bin,0.0119,5.688,512164,90042.12,200 OK,1
A,/arquivo_1mb.bin,0.0117,11.9572,1048741,87707.81,200 OK,1
A,/arquivo_100kb.bin,0.0122,2.191,102564,46811.99,200 OK,1
A,/arquivo_500kb.bin,0.0118,5.7762,512164,88668.39,200 OK,1
A,/arquivo_1mb.bin,0.0119,11.9708,1048741,87608.42,200 OK,1
A,/arquivo_100kb.bin,0.0119,1.133,102564,90527.44,200 OK,1
A,/arquivo_500kb.bin,0.0115,6.6583,512164,76921.66,200 OK,1
A,/arquivo_1mb.bin,0.0116,11.8651,1048741,88388.58,200 OK,1
A,/arquivo_100kb.bin,0.0119,1.1418,102564,89824.14,200 OK,1
A,/arquivo_500kb.bin,0.0117,5.6696,512164,90335.02,200 OK,1
A,/arquivo_1mb.bin,0.0115,13.0124,1048741,80595.71,200 OK,1
A,/arquivo_100kb.bin,0.0121,1.1405,102564,89929.8,200 OK,1
A,/arquivo_500kb.bin,0.0121,5.6892,512164,90024.45,200 OK,1
A,/arquivo_1mb.bin,0.0119,13.1283,1048741,79884.19,200 OK,1
