cenario,recurso,tempo_dns,tempo_total,bytes,throughput,status_http,sucesso
B,/arquivo_100kb.bin,0.0668,5.876,102564,17454.69,200 OK,1
B,/arquivo_500kb.bin,0.0519,34.1095,512164,15015.29,200 OK,1
B,/arquivo_1mb.bin,0.0529,71.5477,1048741,14657.93,200 OK,1
B,/arquivo_100kb.bin,0.0536,6.7684,102564,15153.37,200 OK,1
B,/arquivo_500kb.bin,0.0523,33.7645,512164,15168.73,200 OK,1
B,/arquivo_1mb.bin,0.0531,72.0776,1048741,14550.16,200 OK,1
B,/arquivo_100kb.bin,0.0,0.0,0,0,ERRO:DNS,0
B,/arquivo_500kb.bin,0.0526,34.046,512164,15043.3,200 OK,1
B,/arquivo_1mb.bin,0.0525,75.9531,1048741,13807.74,200 OK,1
B,/arquivo_100kb.bin,0.0525,7.1039,102564,14437.68,200 OK,1
B,/arquivo_500kb.bin,0.0526,33.7177,512164,15189.78,200 OK,1
B,/arquivo_1mb.bin,0.0529,65.7602,1048741,15947.97,200 OK,1
B,/arquivo_100kb.bin,0.0522,6.7701,102564,15149.63,200 OK,1
B,/arquivo_500kb.bin,0.0519,31.3481,512164,16337.96,200 OK,1
B,/arquivo_1mb.bin,0.0541,71.7195,1048741,14622.82,200 OK,1
B,/arquivo_100kb.bin,0.0524,6.47,102564,15852.14,200 OK,1
B,/arquivo_500kb.bin,0.0526,33.1524,512164,15448.76,200 OK,1
B,/arquivo_1mb.bin,0.0526,71.1077,1048741,14748.63,200 OK,1
B,/arquivo_100kb.bin,0.0535,6.1929,102564,16561.49,200 OK,1
B,/arquivo_500kb.bin,0.0529,31.685,512164,16164.26,200 OK,1
B,/arquivo_1mb.bin,0.0524,67.5075,1048741,15535.18,200 OK,1
B,/arquivo_100kb.bin,0.0,0.0,0,0,ERRO:DNS,0
B,/arquivo_500kb.bin,0.0525,35.854,512164,14284.73,200 OK,1
B,/arquivo_1mb.bin,0.0525,70.4667,1048741,14882.79,200 OK,1
B,/arquivo_100kb.bin,0.0525,7.0723,102564,14502.18,200 OK,1
B,/arquivo_500kb.bin,0.0522,31.9093,512164,16050.64,200 OK,1
B,/arquivo_1mb.bin,0.0,0.0,0,0,ERRO:DNS,0
B,/arquivo_100kb.bin,0.0521,7.6702,102564,13371.74,200 OK,1
B,/arquivo_500kb.bin,0.0525,33.1488,512164,15450.46,200 OK,1
B,/arquivo_1mb.bin,0.0523,68.0839,1048741,15403.67,200 OK,1
