cenario,recurso,tempo_dns,tempo_total,bytes,throughput,status_http,sucesso
A,/arquivo_100kb.bin,0.0226,0.0662,102400,1546988.95,200 OK,1
A,/arquivo_500kb.bin,0.0112,0.1038,512000,4932469.21,200 OK,1
A,/arquivo_1mb.bin,0.0113,0.1849,1048576,5671488.51,200 OK,1
A,/arquivo_100kb.bin,0.0113,0.0526,102400,1947221.64,200 OK,1
A,/arquivo_500kb.bin,0.0117,0.0964,512000,5308812.44,200 OK,1
A,/arquivo_1mb.bin,0.0112,0.2107,1048576,4977220.81,200 OK,1
A,/arquivo_100kb.bin,0.011,0.052,102400,1967794.49,200 OK,1
A,/arquivo_500kb.bin,0.0112,0.1006,512000,5088847.93,200 OK,1
A,/arquivo_1mb.bin,0.0112,0.1813,1048576,5784003.69,200 OK,1
A,/arquivo_100kb.bin,0.0111,0.0492,102400,2083054.76,200 OK,1
A,/arquivo_500kb.bin,0.0117,0.0967,512000,5296609.03,200 OK,1
A,/arquivo_1mb.bin,0.0114,0.1781,1048576,5888124.82,200 OK,1
A,/arquivo_100kb.bin,0.0112,0.0513,102400,1996387.09,200 OK,1
A,/arquivo_500kb.bin,0.0114,0.0937,512000,5464084.72,200 OK,1
A,/arquivo_1mb.bin,0.0111,0.215,1048576,4876558.85,200 OK,1
A,/arquivo_100kb.bin,0.0113,0.0569,102400,1798487.21,200 OK,1
A,/arquivo_500kb.bin,0.0114,0.1303,512000,3930363.22,200 OK,1
A,/arquivo_1mb.bin,0.0113,0.706,1048576,1485238.95,200 OK,1
A,/arquivo_100kb.bin,0.0113,0.0518,102400,1975578.67,200 OK,1
A,/arquivo_500kb.bin,0.0115,0.0986,512000,5194762.5,200 OK,1
A,/arquivo_1mb.bin,0.0112,0.1779,1048576,5892826.87,200 OK,1
A,/arquivo_100kb.bin,0.0113,0.0526,102400,1945475.23,200 OK,1
A,/arquivo_500kb.bin,0.0112,0.1004,512000,5099784.72,200 OK,1
A,/arquivo_1mb.bin,0.0113,0.1694,1048576,6189793.72,200 OK,1
A,/arquivo_100kb.bin,0.0113,0.0531,102400,1927143.68,200 OK,1
A,/arquivo_500kb.bin,0.0113,0.0981,512000,5219699.74,200 OK,1
A,/arquivo_1mb.bin,0.0113,0.1809,1048576,5796559.15,200 OK,1
A,/arquivo_100kb.bin,0.0111,0.0512,102400,2001765.15,200 OK,1
A,/arquivo_500kb.bin,0.0114,0.0993,512000,5153647.41,200 OK,1
A,/arquivo_1mb.bin,0.0109,0.1744,1048576,6013230.21,200 OK,1
