cenario,recurso,tempo_dns,tempo_total,bytes,throughput,status_http,sucesso
B,/arquivo_100kb.bin,0.1051,0.2653,102400,385975.66,200 OK,1
B,/arquivo_500kb.bin,0.0517,0.3857,512000,1327436.92,200 OK,1
B,/arquivo_1mb.bin,0.0512,0.4591,1048576,2284058.76,200 OK,1
B,/arquivo_100kb.bin,0.0516,0.2124,102400,482187.26,200 OK,1
B,/arquivo_500kb.bin,0.0515,0.6695,512000,764741.79,200 OK,1
B,/arquivo_1mb.bin,0.0516,0.4941,1048576,2122324.57,200 OK,1
B,/arquivo_100kb.bin,0.0515,0.2124,102400,482057.91,200 OK,1
B,/arquivo_500kb.bin,0.0514,0.3723,512000,1375301.41,200 OK,1
B,/arquivo_1mb.bin,0.0,0.0,0,0,ERRO:DNS,0
B,/arquivo_100kb.bin,0.0513,0.212,102400,483041.38,200 OK,1
B,/arquivo_500kb.bin,0.0,0.0,0,0,ERRO:DNS,0
B,/arquivo_1mb.bin,0.0515,0.736,1048576,1424660.92,200 OK,1
B,/arquivo_100kb.bin,0.0515,0.265,102400,386400.69,200 OK,1
B,/arquivo_500kb.bin,0.0516,0.3751,512000,1364813.57,200 OK,1
B,/arquivo_1mb.bin,0.0514,0.459,1048576,2284513.16,200 OK,1
B,/arquivo_100kb.bin,0.0512,0.2116,102400,484033.78,200 OK,1
B,/arquivo_500kb.bin,0.0515,0.3739,512000,1369529.35,200 OK,1
B,/arquivo_1mb.bin,0.0512,0.4645,1048576,2257422.78,200 OK,1
B,/arquivo_100kb.bin,0.0511,0.2104,102400,486786.1,200 OK,1
B,/arquivo_500kb.bin,0.0514,0.3743,512000,1367744.7,200 OK,1
B,/arquivo_1mb.bin,0.0511,0.7273,1048576,1441727.21,200 OK,1
B,/arquivo_100kb.bin,0.0515,0.2124,102400,482206.75,200 OK,1
B,/arquivo_500kb.bin,0.052,0.377,512000,1358259.07,200 OK,1
B,/arquivo_1mb.bin,0.0518,0.46,1048576,2279556.57,200 OK,1
B,/arquivo_100kb.bin,0.0516,0.2133,102400,480101.87,200 OK,1
B,/arquivo_500kb.bin,0.0517,0.3812,512000,1343108.22,200 OK,1
B,/arquivo_1mb.bin,0.0519,0.7391,1048576,1418696.31,200 OK,1
B,/arquivo_100kb.bin,0.0513,0.2123,102400,482408.77,200 OK,1
B,/arquivo_500kb.bin,0.0517,0.3789,512000,1351402.29,200 OK,1
B,/arquivo_1mb.bin,0.0514,0.4838,1048576,2167262.03,200 OK,1
