cenario,recurso,tempo_dns,tempo_total,bytes,throughput,status_http,sucesso
C,/arquivo_100kb.bin,0.204,0.5167,102400,198179.84,200 OK,1
C,/arquivo_500kb.bin,0.1012,0.7239,512000,707266.66,200 OK,1
C,/arquivo_1mb.bin,0.1016,0.91,1048576,1152313.51,200 OK,1
C,/arquivo_100kb.bin,0.102,0.4127,102400,248122.45,200 OK,1
C,/arquivo_500kb.bin,0.1014,0.7238,512000,707332.35,200 OK,1
C,/arquivo_1mb.bin,0.1012,0.8708,1048576,1204143.91,200 OK,1
C,/arquivo_100kb.bin,0.0,0.0,0,0,ERRO:DNS,0
C,/arquivo_500kb.bin,0.1012,0.7222,512000,708937.95,200 OK,1
C,/arquivo_1mb.bin,0.1014,0.8522,1048576,1230436.53,200 OK,1
C,/arquivo_100kb.bin,0.0,0.0,0,0,ERRO:DNS,0
C,/arquivo_500kb.bin,0.1018,0.7255,512000,705692.26,200 OK,1
C,/arquivo_1mb.bin,0.1017,0.8534,1048576,1228650.13,200 OK,1
C,/arquivo_100kb.bin,0.1011,0.4128,102400,248036.19,200 OK,1
C,/arquivo_500kb.bin,0.1013,0.7374,512000,694359.0,200 OK,1
C,/arquivo_1mb.bin,0.1013,0.848,1048576,1236545.96,200 OK,1
C,/arquivo_100kb.bin,0.1017,0.7597,102400,134781.41,200 OK,1
C,/arquivo_500kb.bin,0.1019,0.7283,512000,703019.57,200 OK,1
C,/arquivo_1mb.bin,0.102,0.8573,1048576,1223090.9,200 OK,1
C,/arquivo_100kb.bin,0.1017,0.4123,102400,248387.34,200 OK,1
C,/arquivo_500kb.bin,0.1014,1.0794,512000,474331.81,200 OK,1
C,/arquivo_1mb.bin,0.1014,0.8679,1048576,1208224.0,200 OK,1
C,/arquivo_100kb.bin,0.1015,0.4101,102400,249699.42,200 OK,1
C,/arquivo_500kb.bin,0.1015,0.7321,512000,699338.87,200 OK,1
C,/arquivo_1mb.bin,0.0,0.0,0,0,ERRO:DNS,0
C,/arquivo_100kb.bin,0.1015,0.4106,102400,249394.5,200 OK,1
C,/arquivo_500kb.bin,0.1017,0.7312,512000,700228.43,200 OK,1
C,/arquivo_1mb.bin,0.1015,0.8954,1048576,1171061.12,200 OK,1
C,/arquivo_100kb.bin,0.6301,1.4574,102400,70261.19,200 OK,1
C,/arquivo_500kb.bin,0.1015,0.7332,512000,698300.08,200 OK,1
C,/arquivo_1mb.bin,0.1013,0.9446,1048576,1110055.77,200 OK,1
